Model,Test Loss,Test Pixel Accuracy,Test Mean IoU,Epochs,Learning Rate
SimpleFCN,0.404585887119174,0.5130875587463379,0.11387407779693604,50,0.0001
FPN,0.25513803362846377,0.7556529998779297,0.4873158037662506,50,0.0001
DeepLabV3Plus,0.26401014514267446,0.750554370880127,0.4804820120334625,50,0.0001
